# chembl_20 target list, 02/02/15
P97292	CHEMBL2245
P51451	CHEMBL2250
Q00796	CHEMBL2275
P00921	CHEMBL2283
Q9UNA0	CHEMBL2285
Q9WVM4	CHEMBL2298
O88766	CHEMBL2312
P42574	CHEMBL2334
P18125	CHEMBL2339
P15735	CHEMBL2349
P20417	CHEMBL2371
Q9NZ42	CHEMBL2374
P24941	CHEMBL301
P28476	CHEMBL2375
Q99895	CHEMBL2386
P30349	CHEMBL2400
Q9XSB5	CHEMBL2404
P14635	CHEMBL2412
Q6RCS8	CHEMBL2450
O09175	CHEMBL2452
Q9XTA2	CHEMBL2460
Q9BZX2	CHEMBL2469
P49768	CHEMBL2473
P25023	CHEMBL2501
O95363	CHEMBL2511
Q01662	CHEMBL2526
O96017	CHEMBL2527
Q9UBL9	CHEMBL2531
P81425	CHEMBL2559
P31424	CHEMBL2564
P51436	CHEMBL2574
P00378	CHEMBL2575
P07807	CHEMBL2576
P35346	CHEMBL1792
P00734	CHEMBL204
Q13547	CHEMBL325
P19235	CHEMBL1817
P0AES6	CHEMBL1826
O15379	CHEMBL1829
P24557	CHEMBL1835
P07202	CHEMBL1839
P35462	CHEMBL234
P08684	CHEMBL340
P0AEK4	CHEMBL1857
O95180	CHEMBL1859
P10827	CHEMBL1860
P51787	CHEMBL1866
P17181	CHEMBL1887
P28222	CHEMBL1898
P15121	CHEMBL1900
P05556	CHEMBL1905
P30872	CHEMBL1917
P47870	CHEMBL1920
Q16881	CHEMBL1927
P49286	CHEMBL1946
P62937	CHEMBL1949
Q02127	CHEMBL1966
P07101	CHEMBL1969
P47871	CHEMBL1985
O14920	CHEMBL1991
P03952	CHEMBL2000
P00740	CHEMBL2016
P35968	CHEMBL279
Q9P8N8	CHEMBL2042
Q14626	CHEMBL2050
P10276	CHEMBL2055
P62593	CHEMBL2065
P21731	CHEMBL2069
Q06520	CHEMBL2077
P07288	CHEMBL2099
P15328	CHEMBL2121
Q9R0Q2	CHEMBL2126
P20142	CHEMBL2136
P24592	CHEMBL2139
P52961	CHEMBL2158
P01112	CHEMBL2167
Q9D6N1	CHEMBL2186
P17425	CHEMBL2189
P32214	CHEMBL2204
P04905	CHEMBL2209
P51878	CHEMBL3131
P24822	CHEMBL3151
P07607	CHEMBL3160
P24547	CHEMBL3169
Q92547	CHEMBL3175
O00748	CHEMBL3180
O02811	CHEMBL3185
P48058	CHEMBL3190
P21836	CHEMBL3198
P62965	CHEMBL3208
P15313	CHEMBL3217
P08575	CHEMBL3243
P18846	CHEMBL3255
P15684	CHEMBL3259
P48450	CHEMBL3262
Q91V92	CHEMBL3264
P00749	CHEMBL3286
P00787	CHEMBL2602
P10253	CHEMBL2608
P26640	CHEMBL2612
Q15661	CHEMBL2617
P35365	CHEMBL2619
P17252	CHEMBL299
Q9P0G3	CHEMBL2641
Q7M3G7	CHEMBL2648
P48974	CHEMBL2659
O15547	CHEMBL2670
P00689	CHEMBL2699
P06211	CHEMBL2724
O88496	CHEMBL2744
P14410	CHEMBL2748
P05622	CHEMBL2749
Q01237	CHEMBL2764
Q3THK7	CHEMBL2765
O18956	CHEMBL2766
Q9I8A2	CHEMBL2770
P02554	CHEMBL2788
O08786	CHEMBL2798
P22735	CHEMBL2810
P54136	CHEMBL2824
P15381	CHEMBL2830
O60551	CHEMBL2849
P69905	CHEMBL2887
Q9Y2R2	CHEMBL2889
P50233	CHEMBL2908
Q01432	CHEMBL2912
P15150	CHEMBL2927
P51647	CHEMBL2931
P05129	CHEMBL2938
P79248	CHEMBL2950
P29122	CHEMBL2951
P06868	CHEMBL2957
P56658	CHEMBL2966
O75116	CHEMBL2973
Q9R1M7	CHEMBL342
Q9ET01	CHEMBL3008
P20815	CHEMBL3019
Q00959	CHEMBL310
Q01812	CHEMBL3044
P19969	CHEMBL300
P29476	CHEMBL3048
P12938	CHEMBL3057
P11151	CHEMBL3064
P08254	CHEMBL283
P00439	CHEMBL3076
O60779	CHEMBL3079
Q13231	CHEMBL3080
P19256	CHEMBL3790
Q13315	CHEMBL3797
Q28969	CHEMBL3809
Q95MF8	CHEMBL3811
Q9Y478	CHEMBL3847
Q07343	CHEMBL275
Q15139	CHEMBL3863
P51635	CHEMBL3871
Q9R297	CHEMBL3875
P17712	CHEMBL3882
P28843	CHEMBL3883
Q9NYL2	CHEMBL3886
O00462	CHEMBL3903
P02718	CHEMBL3916
P18433	CHEMBL3918
O93874	CHEMBL3925
Q50565	CHEMBL3926
Q9UUZ4	CHEMBL3936
O08562	CHEMBL3312
P81721	CHEMBL3313
P43253	CHEMBL3322
O62698	CHEMBL3331
P00176	CHEMBL3335
